,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
493,Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,COURSE,4.8,1435 reviews,Intermediate,25k,https://www.coursera.org/learn/ecology-conservation,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d0/03b350050c11e880d243de4b5edf9b/coursera_ecology_1200x1200.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Ana Luz Porzecanski,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
494,Natural Language Processing with Attention Models,deeplearning.ai,COURSE,,,Intermediate,3.2k,https://www.coursera.org/learn/attention-models-in-nlp,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/1f/4fe2302a564c028d292b2922cda49e/Coursera-course-square-logo-4.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,,,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu",,"Shareable Certificate, 100% online, Course 2 of 2 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 2 in the, Flexible deadlines, English",English,"Reformer Models, Neural Machine Translation, Chatterbot, T5+BERT Models, Attention Models",Language;Natural Language Processing,Language;Computer Science
495,Information????ystems,University of Minnesota,SPECIALIZATION,4.7,553 reviews,Beginner,21k,https://www.coursera.org/specializations/information-systems,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e8/9797e0a25c11e8bfc0d174d0d6d406/graphicstock-best-internet-concept-of-global-business-from-concepts-series-elements-of-this-image-furnished-by-nasa_H_YGvIiDgog.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Information Technology . Become a better manager of information technology to address business problems,4.6stars,158 ratings,"Gautam Ray, Ken Reily, Jason Chan, Soumya Sen","8,891","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 5 months to complete, English",English,"Project Management, Critical Thinking, Management, IT Skills and Knowledge, Finance and accounting skills and knowledge, Business analysis skills and knowledge, Project management skills and knowledge",Accounting;Business;Business Analysis;Business Management;Critical Thinking;Finance;Management;Project Management,Accounting;Business;Business;Personal Development;Math and Logic
496,Kotlin for Java Developers,JetBrains,COURSE,4.7,1145 reviews,Intermediate,44k,https://www.coursera.org/learn/kotlin-for-java-developers,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e3/f27630d13511e88dd241e68ded0cea/K_logo_800x800.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Svetlana Isakova, Andrey Breslav",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Java;Kotlin ,Java;Data Science
497,What is Social?,Northwestern University,COURSE,4.6,3298 reviews,Mixed,100k,https://www.coursera.org/learn/what-is-social,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fe/cac0f0db0811e5998f01359b89fd0c/1.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Randy Hlavac,,"Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English",English,"Social Marketing, Social Network, Social Media Marketing, Social Media",Marketing;Social Media Marketing,Marketing;Marketing
498,Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,COURSE,4.7,403 reviews,Beginner,49k,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/c6/7f513b212048f99174b25e153f157f/lifepurp_thumnail_coursera_04132020.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Vic Strecher,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Life,Life
499,Introduction to Engineering Mechanics,Georgia Institute of Technology,COURSE,4.7,2954 reviews,Mixed,160k,https://www.coursera.org/learn/engineering-mechanics-statics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d7/60ad90371f11e6a6a20b6ff5b84324/Introduction_EngineeringMechanicsIcon.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Dr. Wayne Whiteman, PE",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Engineering;Mechanics,Engineering
500,English for Research Publication Purposes,Moscow Institute of Physics and Technology,SPECIALIZATION,4.6,650 reviews,Intermediate,49k,https://www.coursera.org/specializations/english-for-research-publication-purposes,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/47/d47180b19411e6b4bb0fe7f24df717/600x600.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,English for Research Publication Purposes. Learn effective strategies for writing research publications in English.,4.6stars,229 ratings,"Elena Bazanova, Varvara Sosedova",,"Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 5 months to complete, English",English,,English;Writing,English;Business;Computer Science;Personal Development
501,Mastering Software Development in R,Johns Hopkins University,SPECIALIZATION,4.3,1224 reviews,Beginner,55k,https://www.coursera.org/specializations/r,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/fa/b19ab0695c11e691367b8deb5cea76/Screen-Shot-2016-08-23-at-10.45.07-AM.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Build better data science tools.. Learn to design software for data tooling, distribute R packages, and build custom visualizations.",4.4stars,994 ratings,"Roger D. Peng, PhD, Brooke Anderson","14,316","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,"R Programming, Data Visualization (DataViz), Ggplot2, tidyverse, Object-Oriented Programming (OOP), Data Manipulation, Regular Expression (REGEX), Rstudio, Logic Programming, Functional Programming, Programming Tool, Github",Data Manipulation;Design;GitHub;Logic;Object Oriented Programming ;R;Science;Software Development,Data Manipulation;Art and Design;Computer Science;Math and Logic;Life Science
502,Healing with the Arts,University of Florida,COURSE,4.6,446 reviews,Mixed,47k,https://www.coursera.org/learn/healing-with-the-arts,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/15/e16780e7a211e5a0fcc3f4d285d685/logo960.fw.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Mary Rockwood Lane, PhD, RN, FAAN, Michael Samuels, MD",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Music, Art, Meditation, Visual Arts",Meditation;Music,Meditation;Art and Design
503,Equine Welfare and Management,"University of California, Davis",COURSE,4.9,134 reviews,Beginner,8.5k,https://www.coursera.org/learn/equine,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/40/332f30426011e8a1a745ac306ca7a0/EQN1014_Course_Logo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,"Claudia Sonder, DVM",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Management,Management
504,Arts and Heritage Management,Universit? Bocconi,COURSE,4.8,689 reviews,Mixed,17k,https://www.coursera.org/learn/arts-heritage,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/22/e6c9209c4711e69652dfe94128eea2/AHM_foto_corso.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Andrea Rurale,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Fundraising, Customer Relationship Management (CRM), Management, Marketing",Customer Relationship;Management;Marketing,Customer Relationship;Computer Science;Marketing
505,Sales Operations/Management,West Virginia University,SPECIALIZATION,4.5,136 reviews,Beginner,7.5k,https://www.coursera.org/specializations/sales-operations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/90/40bfe0c80e11e89df2d7e5a3989ffe/SpecLogo.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Prepare Yourself for a Sales Management Career. Master knowledge and techniques to manage an effective sales force.,4.5stars,108 ratings,"Michael F. Walsh, Ph.D., Suzanne C. Bal, Emily C. Tanner, Ph.D.","3,352","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 6 months to complete, English",English,,Management;Sales,Management
506,English for Journalism,University of Pennsylvania,COURSE,4.8,1757 reviews,Mixed,140k,https://www.coursera.org/learn/journalism,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e0/49bdb0120e11e6a2d7a90dc288791b/Journalism.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"John Cotton, Eve Litt",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"English Grammar, News Reporting, English Language, Broadcast",English;Language,English
507,Public Policy Challenges of the 21st Century,University of Virginia,COURSE,4.6,834 reviews,Beginner,55k,https://www.coursera.org/learn/public-policy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/9c/10b7e06f4711e4ba53e9c5157fe017/Russell-Building-Dome.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Professor Gerry Warburg,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
508,Data-driven Decision Making,PwC,COURSE,4.6,4966 reviews,Beginner,120k,https://www.coursera.org/learn/decision-making,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/e1/34fdb02d0d11e6abe37734764945a3/PwC_fl_c.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Alex Mannella,,"Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 5 in the, Flexible deadlines, English",English,"Data-Informed Decision-Making, Big Data, Data Analysis, Data Visualization (DataViz)",Big Data;Data Analysis,Big Data;Data Science;Business;Math and Logic
509,Engineering Health: Introduction to Yoga and Physiology,New York University,COURSE,4.8,147 reviews,Beginner,18k,https://www.coursera.org/learn/engineering-health-yoga-physiology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d7/99ecc3d3d34fd089ad5bf46613b219/YogaPhysiology_800x800.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Alexandra Seidenstein, Eddie Stern, Tommy Lee ",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Engineering;Health;Yoga ,Engineering;Health and Fitness;Personal Development
510,Leading Healthcare Quality and Safety,The George Washington University,COURSE,4.7,531 reviews,Beginner,19k,https://www.coursera.org/learn/quality-healthcare,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/89/7991a0220711e6a2b8fb273ceba35a/MOOC_logo_clipbd_800X800px.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Jean Johnson, Gregory Pawlson",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
511,Supply Chain Finance and Blockchain Technology,New York Institute of Finance,SPECIALIZATION,4.6,201 reviews,Intermediate,5.6k,https://www.coursera.org/specializations/supply-chain-finance-and-blockchain-technology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/5e/719b900a3c11e984782d1da07f8591/industry-2633879_1920.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Master Supply Chain Finance & Blockchain. Learn how to assess, sell and implement Supply Chain Finance programs using cutting edge technology.",4.6stars,173 ratings,"Oliver Belin, Jack Farmer","2,221","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Blockchain Technology Implementation, Foreign Currency Risk Management, Accounts Receivable Management, Accounts Payable Management, Trade Finance Management, Marketing Supply Chain Finance Services, Designing a Supply Chain Finance Program, Risk Management of Supply Chain Finance, Financial Innovation, Blockchain Implementation in Supply Chain Finance, APIs for Trade Finance, Managing Accounts Receivable and Accounts Payable with Blockchain",Blockchain;Finance;Innovation;Management;Marketing;Supply Chain,Blockchain;Computer Science;Personal Development;Marketing
512,COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,4607 reviews,Beginner,60k,https://www.coursera.org/learn/covid-19-what-you-need-to-know,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/6d/b2ddeaaa494bf686d1c0e81a0304a2/COVID-19_Course-Thumbnail-Clinicians.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Rishi Desai, MD, MPH, Mary W. Ales, CCMEP, FACEHP",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
513,"Cybersecurity Roles, Processes & Operating System Security",IBM,COURSE,4.6,1027 reviews,Beginner,16k,https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/4b/834f1caad14fa698f4be488b3fa65d/504473474.504473476.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,IBM Security Learning Services,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Cybersecurity,Cybersecurity
514,Infectious Disease Modelling,Imperial College London,SPECIALIZATION,4.9,101 reviews,Intermediate,3.5k,https://www.coursera.org/specializations/infectious-disease-modelling,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/53/c1ba27085141639f7c3a5d6bed836d/Infectious-Disease-Modelling.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,96 ratings,Nimalan Arinaminpathy,"2,130","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 3 months to complete, English",English,"Modeling, R Programming, Mathematical Model, Infectious Diseases",R,R
515,Palliative Care: It's Not Just Hospice Anymore,University of Colorado System,SPECIALIZATION,4.8,202 reviews,Beginner,4.7k,https://www.coursera.org/specializations/palliative-care,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/40/0c14d0cb3c11e8897d5981dfb2ae31/PC-Specialization-Logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Palliative Care Easing Pain and Suffering. Learn strategies and techniques to assess suffering and support patients living with serious illness,4.8stars,142 ratings,"Regina Fink, Maurice Scott, Kelly Arora, Amos Bailey, Nancy Robertson","1,791","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 7 months to complete, English",English,"Easing Pain and Suffering, Health Management, Palliative Care, Communication, Patient Care",Communication;Health;Management,Communication;Health and Fitness;Personal Development;Business
516,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universit?t M?nchen (LMU),SPECIALIZATION,4.7,2788 reviews,Intermediate,360k,https://www.coursera.org/specializations/competitive-strategy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/dd/fcbda0803111e6a39bc7b31d9b4e33/compstrat_capstone_icon_2_1200.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Excel in Competitive Strategy & Organization. Acquire theoretical knowledge & tools to master internal & external strategic management challenges ,4.7stars,"2,423 ratings",Tobias Kretschmer,"7,846","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 7 months to complete, English",English,"Organization Design, Strategic Management, Game Theory, Strategic Thinking, Competition (Economics), Pricing, Marketing, Competitiveness, Business Strategy, Organizational Structure",Business;Business Management;Design;Economics;Excel;Management;Marketing;Strategic Management;Strategy,Business;Business;Art and Design;Math and Logic;Marketing
517,Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,150 reviews,Intermediate,7.6k,https://www.coursera.org/specializations/unity-certified-programmer,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/63/0e5c6072b611e89b576dbec15dfeeb/UCP---Coursera-specialization-logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Be a Unity Certified Programmer. Prepare to take the Unity Certified Programmer exam.,4.5stars,142 ratings,"Jeremy Gibson Bond, Unity Technologies","3,867","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,,Unity,Unity
518,Epidemiology for Public Health,Imperial College London,SPECIALIZATION,4.7,509 reviews,Beginner,9.1k,https://www.coursera.org/specializations/public-health-epidemiology,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/42/90d970363011e9b0c61b61b29bb758/Epidemiology-For-Public-Health.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Design and Critique Epidemiological Research. Develop skills that will allow you to conduct and critically assess research in epidemiology,4.7stars,328 ratings,Filippos Filippidis,"4,819","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 3 months to complete, English",English,"association, Screening, Causal Inference, Clinical Study Design, Bias, incidence, Epidemiology, Prevalence, Randomized Controlled Trial, Case-Control Study, Study designs, Cohort",Design;Health,Design;Health and Fitness;Personal Development
519,Leading: Human Resource Management and Leadership,Macquarie University,SPECIALIZATION,4.8,423 reviews,Intermediate,25k,https://www.coursera.org/specializations/hr-management-leadership,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e0/fd92b0c1eb11e8bc4f4738f0872922/Specialisation-Logo-Leading.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Get ready for the Future of Work. Leading people and organisations to adapt, compete and succeed in a complex, global environment.",4.8stars,220 ratings,"Professor Jaco Lok, Professor Rebecca Mitchell, Dr Richard Claydon, Arabella MacPherson, Associate Professor Edward Wray-Bliss, Dr Abas Mirzaei","7,680","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 6 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 6 months to complete, English",English,"Strategic Thinking, Human Resources (HR), Visionary leadership, Organisational design, Value Chain, Organisational leadership, Organisational alignment, Change planning, Motivation, Diversity and Inclusion, Communication, Staff Management",Communication;Design;Human Resources;Leadership;Management;Strategic Management,Communication;Art and Design;Business
520,"Social Norms, Social Change I",Unicef,COURSE,4.6,1475 reviews,Beginner,82k,https://www.coursera.org/learn/norms,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/d7/4235a0dcb511e5831c974ec7bbd7a3/Wordle.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Cristina Bicchieri,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Education, Social Psychology, Research Methods, Qualitative Research",Psychology,Psychology
521,Financing and Investing in Infrastructure,Universit? Bocconi,COURSE,4.8,1130 reviews,Mixed,26k,https://www.coursera.org/learn/infrastructure-investing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/59/d8db02b962d49aa0b5b4be8c6200da/Untitled.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,Stefano Gatti,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Capital Budgeting, Risk Analysis, Project, Finance",Finance,Finance
522,Algorithmic Toolbox,University of California San Diego,COURSE,4.6,8196 reviews,Intermediate,260k,https://www.coursera.org/learn/algorithmic-toolbox,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/fb/434400d9ac11e5afbfa359f34ae5f0/logo3.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,"Alexander S. Kulikov, Michael Levin, Neil Rhodes, Pavel  Pevzner, Daniel M Kane",,"Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 6 in the, Flexible deadlines, English",English,"Dynamic Programming, Debugging, Software Testing, Algorithms, Computer Programming",Algorithms;Software Testing,Algorithms;Physical Science and Engineering
523,The Global Financial Crisis,Yale University,COURSE,4.8,1818 reviews,Mixed,90k,https://www.coursera.org/learn/global-financial-crisis,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/0c/ddde30c6c611e68773756acffc1013/Logo_Global-Financial-Crisis.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.8stars,,"Andrew Metrick, Timothy Geithner",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Crisis, Global Financial Crisis, Financial Markets, Financial Crisis",,
524,Operations Analytics,University of Pennsylvania,COURSE,4.7,4331 reviews,Mixed,83k,https://www.coursera.org/learn/wharton-operations-analytics,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/66/fd32504cd611e5bb11bbbec9ff99cd/coursera_operations_analytics_8x8.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Senthil Veeraraghavan, Sergei Savin, Noah Gans",,"Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 2 of 5 in the, Flexible deadlines, English",English,"Simulation, Mathematical Optimization, Solver, Decision Tree",,
525,Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,COURSE,4.6,439 reviews,Intermediate,24k,https://www.coursera.org/learn/design-strategy,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/49/4b9e80437411e8b650b5017891c2ba/Design-Strategy-Logo.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.6stars,,Eric Knight,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,Business;Design;Entrepreneurship;Strategy,Business;Business;Art and Design;Computer Science;Data Science;Health and Fitness;Language and Communication;Math and Logic;Social Science
526,"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,COURSE,4.7,1026 reviews,Beginner,14k,https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a4/36ad68752f4f66830b8722643d56d7/finTech_overview_coursera.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Christopher Geczy, Natasha Sarin",,"Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English, Shareable Certificate, 100% online, Course 1 of 4 in the, Flexible deadlines, English",English,,,
527,Spacecraft Dynamics and Control,University of Colorado Boulder,SPECIALIZATION,4.8,210 reviews,Advanced,15k,https://www.coursera.org/specializations/spacecraft-dynamics-control,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/e2/ba7140e12111e88f01cb7b195f38ee/logospacrft.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Explore a Career in Spacecraft Attitude Analysis..  Master the theories and concepts of spacecraft attitude dynamics.,4.9stars,172 ratings,Hanspeter Schaub,"3,565","Shareable Certificate, 100% online courses, Flexible Schedule, Advanced Level, Approx. 5 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Advanced Level, Approx. 5 months to complete, English",English,"kinematics, attitude dynamics, kinetics, control of nonlinear attitude, spacecraft motion",,
528,Love as a Force for Social Justice,Stanford University,COURSE,4.7,188 reviews,Beginner,19k,https://www.coursera.org/learn/love-social-justice,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/97/f43e10226f11e7a47d9fee5ad17f2c/womens-march-2001559_960_720.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,Anne Firth Murray,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,,
529,Understanding International Relations Theory,National Research University Higher School of Economics,COURSE,4.7,260 reviews,Mixed,33k,https://www.coursera.org/learn/international-relations-theory,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/a0/68e9f001c711e89e2621611c078455/LOGO-Understanding-Int-Relations-Theory.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,,"Timofei Bordachev, Dmitrii Suslov",,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,,International Relations,International Relations
